パン、米など,肉類,魚介類,果物、野菜類,酒類,たばこ関連,被服、生活必需品,医療、サプリメント関連,PC・通信関連,その他,サブスクA契約有無,サブスクB契約有無,サブスクC契約有無,サブスクD契約有無,サブスクE契約有無,性別,ユーザー年齢,同居人登録有無,子供有無,テレビ有無,冷蔵庫有無,洗濯機有無,エアコン有無,車有無,固定電話有無,携帯電話有無,PC有無
3980,880,880,240,0,0,4400,1650,10420,9840,0,0,0,1,0,1,51,1,1,1,1,1,0,0,0,1,1
1430,2410,780,320,1240,6410,4920,2510,24050,9790,0,1,0,0,0,0,48,0,0,1,1,1,1,1,1,1,1
1890,1330,1090,1360,20,150,5250,2350,5330,7950,0,0,1,1,0,0,34,1,1,1,1,0,0,1,0,1,0
6120,1040,2560,650,0,1430,4490,190,21740,6580,0,1,0,0,0,1,44,1,1,1,1,0,1,0,0,0,1
8010,1680,970,1820,4050,10,4000,750,107880,10400,0,0,1,0,0,1,60,1,1,1,1,1,0,1,0,1,1
1960,400,510,4390,5320,2510,0,830,2960,10170,0,0,1,1,0,1,54,0,0,1,1,0,0,0,0,1,0
5500,400,1040,1870,0,4910,3720,1420,3310,9670,0,0,0,0,0,1,75,1,0,0,1,0,0,0,0,1,0
3200,360,870,0,20,6000,670,1600,2280,5810,0,0,0,0,0,1,66,1,0,0,1,1,0,0,0,1,1
1750,0,0,1390,4970,4760,680,290,3740,4140,0,1,0,0,0,1,49,0,0,1,0,0,0,0,0,1,0
5000,1620,2230,3820,20,10,3480,1420,16550,20480,0,0,0,0,1,1,74,1,0,1,1,1,1,1,1,1,0
3800,750,910,190,6170,6730,16430,8600,15300,6870,0,0,1,0,1,1,36,1,0,1,1,1,1,0,0,1,1
5990,2680,1340,2700,0,30,2010,1000,5670,9380,0,0,0,0,1,0,63,1,1,1,1,1,0,0,0,1,0
6960,1490,1950,1320,0,4190,2510,1990,2630,6570,0,0,0,0,0,1,65,1,0,1,1,1,1,1,0,1,0
6400,1550,820,0,0,4080,4360,8370,14930,9800,0,0,1,0,0,0,41,1,0,1,1,1,0,0,0,1,0
7380,3630,1560,910,0,40,2250,2250,5740,7970,0,0,0,1,0,1,54,1,1,0,1,1,0,1,0,1,1
2260,660,900,1150,6300,0,1190,350,7850,5090,0,0,0,1,0,1,43,0,0,1,1,0,0,0,0,1,0
5640,340,320,1590,780,3240,310,660,0,7660,0,1,0,1,0,1,72,1,0,0,1,0,0,0,0,0,0
4060,580,860,680,5350,2590,1960,2110,4410,5670,1,0,1,1,0,1,31,1,1,1,1,0,0,0,0,1,0
2550,0,0,0,0,4150,3790,1710,3500,6910,0,1,0,0,0,1,24,1,0,1,0,0,0,1,0,1,0
2950,1410,4120,280,4250,5530,450,3210,2120,4800,1,0,1,1,0,0,34,1,0,1,1,0,0,0,0,1,0
2790,640,1080,2280,0,0,310,4600,2750,4600,0,0,0,0,0,1,70,0,0,1,1,1,1,0,0,1,0
3650,1270,1460,810,3060,6660,5340,1760,18000,2570,0,0,0,0,0,1,48,1,0,1,1,0,1,0,0,1,1
2970,2030,1010,760,0,0,12970,7520,32220,7990,1,0,0,0,0,1,59,1,1,1,1,1,1,0,0,1,1
4430,190,1490,970,0,0,2380,1110,16440,9840,1,0,0,0,0,0,50,1,1,1,1,0,0,0,0,1,0
3720,890,810,770,0,1030,2360,1760,48030,6480,0,0,1,1,0,0,46,1,1,1,1,1,0,0,0,1,0
3440,440,1520,1890,4300,7920,1980,2460,3650,3960,0,0,1,0,0,1,51,1,0,0,1,0,0,0,0,1,0
