月収,勤務地_東京,勤務地_大阪,勤務地_名古屋,勤務地_福岡,過去転勤有無,海外勤務経歴,通勤距離,勤続年数,年齢,管理職,性別,結婚,扶養家族有無,残業有無,出張有無,研修受講時間,保有資格数,英語スキル,褒賞有無,遅刻欠勤,やる気,協調性,プレゼンテーションスキル,業務遂行能力,総合評価,働きがい,人間関係,ワークライフバランス,自分の評価への満足度,上司面談有無,定期健診フラグ,ストレスチェック,エンゲージメントスコア
月収,1,-0.0588723968089626,0.00374287016479316,-0.013883379638348,0.0817329871371657,0.000715762186990631,0.025777218406656,-0.00312512779020683,0.189976003831341,0.180529983057972,0.719565598281114,-0.00957948749532776,0.0347565412305346,0.0149930528723965,-0.00535692721499773,0.0189198881365056,0.00301387703527998,-0.0360347879572381,-0.000636101754243218,0.0152897366389239,-0.00159966121336158,-0.0473879912270881,-0.0301357452008054,0.0501159123763861,0.0257494190765627,-0.0166601973050882,0.0787272223230372,0.0173311512839639,0.0422154937714661,0.00763899108050322,0.0464602464122945,-0.0296568878205017,-0.0248946201875729,0.0774025537908585
勤務地_東京,-0.0588723968089626,1,-0.432623672221805,-0.331197201507575,-0.444967841319753,-0.0168890743516221,0.0285235502710268,-0.0228757769918732,-0.0664301669703286,-0.0416918743503239,-0.0677323851126496,0.0322148384880108,-0.0785582028278307,-0.0509699605702435,0.0472672735894867,-0.0902671790727784,-0.0613137638473557,0.0453888721837018,0.0289435489535607,-0.0466322926531924,-0.0121036473722918,-0.0100241159644514,-0.0662495168928422,0.00660941622405129,-0.0233959788759361,-0.0243489774685436,-0.190785581237375,-0.493917244513943,-0.201562520300586,-0.0284239891294278,-0.0963097665057126,0.0514164409525841,-0.0574400218646618,-0.118555640485088
勤務地_大阪,0.00374287016479316,-0.432623672221805,1,-0.185308312960061,-0.252348448227257,0.0109331180633356,-0.0227405906623222,-0.0240180311248948,0.0135827169096703,-0.00113723856100182,0.00278568855612701,-0.0211298755799849,0.0322454135883953,0.00293940280174618,-0.015927674222067,0.0293828612468068,0.0644717645324705,-0.0172688446702654,0.0280438303486865,-0.0494032487033051,-0.0514182560451319,-0.000655081575902758,-0.00932909893587981,0.0478450071457755,0.0509663135180024,-0.036124223080232,-0.0329639423089954,-0.0258373953061463,0.0436904351696678,0.0111968334768571,0.0122594732437627,0.00238806665346422,-0.0220016486288424,0.001716594223017
勤務地_名古屋,-0.013883379638348,-0.331197201507575,-0.185308312960061,1,-0.193186608186333,-0.0373011306988045,0.00588525200793724,0.0336530842298822,0.00342032888167407,-0.015208757073822,0.023822668359237,-0.0169222221668765,0.0253321000599801,0.0264002782977961,0.0276633436737198,-0.00498390858711961,-7.39441679672533e-05,-0.0265400809028986,-0.016019097636951,0.0147951049143655,0.0386236219562002,0.0106263986102985,0.109851265451306,-0.0481193492274989,-0.0648044234818237,-0.0404795548231359,0.189199349276941,0.376008447649805,0.301971948549318,0.018295601963438,0.0463297726271664,0.0179941772398203,0.0795010662202718,0.127066341395597
勤務地_福岡,0.0817329871371657,-0.444967841319753,-0.252348448227257,-0.193186608186333,1,0.0143996407694428,-0.0220493027977191,-0.0190358430585368,0.0492089656049879,0.0667561772998365,0.0373828540821719,0.00797280732570732,0.0233765842251684,0.0312634446774141,-0.0556650449098282,0.0680900858819639,0.0167214465766659,-0.0335080925091184,-0.0402176435610777,0.0919784246234714,0.0206891348287804,-0.00963336816952082,0.000342493713489586,-0.0387363767260827,0.0375833004148551,0.0821373416289772,0.0655932907469125,0.233103214310989,-0.0106287707456721,0.00356330192335302,0.0446706064677383,-0.105423783733514,-0.0256337429206219,0.0723032091551746
過去転勤有無,0.000715762186990631,-0.0168890743516221,0.0109331180633356,-0.0373011306988045,0.0143996407694428,1,-0.00486446568296113,-0.032870995648364,0.0119695529580465,-0.0209067417319647,0.0143112474206906,-0.0071261665601234,-0.012723101259677,0.0138180492918051,-0.0308931919482629,-0.0308931919482629,-0.0387165475825867,-0.0192990683444978,0.00925866394830971,-0.0328979014354244,-0.0265307325821556,-0.039941890850481,0.00153158327518183,0.0178163471834272,-0.00856279738864049,0.000755506391850282,0.0143825919657164,-0.0223637668848815,-0.00130079503152304,0.0447198209429735,-0.0260220600539236,0.0203482429717767,-0.0435593408509638,-0.132838105899316
海外勤務経歴,0.025777218406656,0.0285235502710268,-0.0227405906623222,0.00588525200793724,-0.0220493027977191,-0.00486446568296113,1,-0.0254943335964486,0.0420767778611995,0.0995756227235021,0.00684592041459713,-0.00989613199253804,0.0321613257302199,0.0403613447622974,-0.0126136248597448,0.0154002236790752,0.029625949151011,0.00343148846060976,0.321087056929657,0.0518078634750287,-0.0616976224780537,0.0102347880544305,-0.00535261596694715,-0.036639427965604,-0.00587975975029502,0.0693236055444844,0.055395232804566,0.0324254008972231,0.0317244053169689,-0.0432119006532975,0.0274141732100335,0.0115239688696548,0.0108881439740757,0.145259493699233
通勤距離,-0.00312512779020683,-0.0228757769918732,-0.0240180311248948,0.0336530842298822,-0.0190358430585368,-0.032870995648364,-0.0254943335964486,1,0.0491660017238278,0.023870403309341,-0.0338830330235874,-0.014405115354358,0.00953160834287315,0.00510851483621445,-0.020469963811942,0.0748853516890722,0.0291065096450978,-0.0454231603508657,0.00613693455915632,-0.0103560555347198,0.0347045865348546,0.0026581875593516,0.0498997569517967,0.0720563107198284,-0.0535492224951035,-0.00214511809697371,-0.00758427100940999,-0.0357361833803499,-0.00177468409092155,-0.000574587841971745,0.00875562176326457,0.023298642835434,0.276582690112178,-0.121101263285071
勤続年数,0.189976003831341,-0.0664301669703286,0.0135827169096703,0.00342032888167407,0.0492089656049879,0.0119695529580465,0.0420767778611995,0.0491660017238278,1,0.316616613601261,0.214690552891073,0.00733110703946525,0.0301054750620534,0.0479777953600633,-0.0193259542962505,0.0258390659528926,-0.0868394952559119,-0.00894206579884723,0.0460277347401012,0.0165538031049427,0.014438158869156,0.00936549818754537,-0.00147759948805538,-0.00762495889748436,-0.0198034998776298,0.0786933066558412,0.083941497437421,0.0602944451445985,0.0185600412639914,-0.0261338248654038,0.0892579007038803,-0.0400168111599593,-0.0321294501915718,0.118232477657738
年齢,0.180529983057972,-0.0416918743503239,-0.00113723856100182,-0.015208757073822,0.0667561772998365,-0.0209067417319647,0.0995756227235021,0.023870403309341,0.316616613601261,1,0.228185848666402,-0.035013001726563,0.119984902629858,0.106327348084677,-0.0400026339762506,0.114581953009709,0.0876924911790916,-0.0336231472648571,-0.0316275164019155,-0.00572713535042798,-0.0365101761519098,-0.0105397623865137,0.0375104226926083,0.0368979112244412,-0.0056666107821295,0.316957237826634,0.05654149891252,-0.00584104451690052,0.057668091807426,0.0279860314660394,0.0290221491679968,0.0147839735595839,-0.0152234748075027,0.0513369045992154
