year,tokyo_m,tokyo_f,aichi_m,aichi_f,osaka_m,osaka_f,fukuoka_m,fukuoka_f
1960,4997023,4686779,2064726,2141587,2766229,2738517,1954636,2052043
1961,5143712,4823509,2127481,2191183,2891423,2843725,1944298,2051155
1962,5267048,4956826,2189507,2241702,3021777,2960169,1937992,2051944
1963,5384846,5085318,2254381,2296991,3136558,3069716,1922235,2048040
1964,5474463,5193830,2321422,2358226,3252785,3187238,1909482,2044716
1965,5564583,5304661,2382085,2416568,3355699,3301490,1911317,2053294
1966,5635032,5382710,2427694,2458048,3430989,3383553,1918275,2061612
1967,5697545,5464675,2489492,2509844,3526750,3482301,1925136,2073745
1968,5752214,5533705,2556809,2567088,3625905,3586690,1926909,2081601
1969,5786252,5580916,2626934,2630631,3729831,3693826,1930019,2090003
1970,5801009,5607062,2694991,2691172,3823622,3796858,1932033,2095383
1971,5838385,5681610,2765217,2761390,3908807,3896258,1945543,2110077
1972,5870194,5741022,2822541,2822322,3981340,3980556,1967006,2133294
1973,5885465,5753839,2880243,2876337,4038500,4044323,1996562,2159051
1974,5894680,5752542,2929223,2921673,4090758,4099479,2028331,2186551
1975,5913373,5760181,2966388,2957181,4132495,4146430,2070190,2222773
1976,5904165,5769916,2996635,2991541,4150983,4179333,2101465,2251932
1977,5893747,5775183,3027789,3023974,4166561,4206906,2131123,2279744
1978,5883014,5775820,3059309,3055512,4180281,4231649,2154837,2305002
1979,5867168,5769366,3086873,3084274,4192686,4252730,2177295,2328445
1980,5856280,5762001,3112306,3109332,4203838,4269608,2200450,2353011
1981,5857088,5768537,3134542,3131090,4217393,4291351,2218673,2375343
1982,5867579,5782900,3156643,3152728,4231206,4311345,2235331,2396465
1983,5892844,5806775,3178242,3175177,4251524,4336751,2250619,2416068
1984,5922489,5836706,3200866,3200086,4271593,4360732,2262850,2433829
1985,5955029,5874334,3228724,3226448,4286445,4381650,2270496,2448763
1986,5986105,5901992,3260094,3251979,4302900,4402181,2278854,2461948
1987,5987296,5899833,3288856,3277155,4317305,4419593,2282831,2473230
1988,5985913,5887297,3309745,3296597,4321165,4426807,2290029,2483184
1989,5978748,5884541,3332204,3317018,4316407,4427601,2297068,2496174
1990,5969773,5885790,3354827,3335776,4308184,4426332,2303487,2507563
1991,5988158,5905449,3374464,3354661,4313236,4436632,2312906,2521135
1992,5976335,5910320,3398654,3376871,4314818,4445914,2324151,2534972
1993,5948443,5900553,3414614,3395077,4311197,4450550,2335962,2548951
1994,5911854,5884277,3426538,3412121,4305096,4453739,2346334,2562809
1995,5892704,5880901,3439180,3429156,4321575,4475693,2357525,2575868
1996,5914986,5893437,3452929,3444191,4324412,4482365,2365158,2587283
1997,5958019,5922999,3470172,3461209,4320242,4487465,2372181,2598972
1998,5982307,5957031,3492154,3481225,4317436,4495659,2379313,2610575
1999,5995504,5987635,3508219,3498092,4312390,4500159,2384224,2617814
2000,6028562,6035539,3525698,3517602,4304059,4501022,2388824,2626875
2001,6066400,6098139,3550920,3540484,4305452,4515196,2393571,2636526
2002,6115502,6155266,3568811,3562603,4298941,4521791,2395068,2643856
2003,6172766,6215502,3589365,3580396,4294638,4529259,2396347,2648438
2004,6217645,6264726,3610563,3598200,4289534,4535505,2396866,2653157
2005,6264895,6311706,3638994,3615710,4280622,4536544,2394094,2655814
2006,6305000,6354000,3670000,3638000,4275000,4540000,2395000,2659000
2007,6354000,6405000,3699000,3661000,4269000,4543000,2394000,2662000
2008,6393000,6446000,3723000,3680000,4263000,4543000,2392000,2663000
2009,6403000,6466000,3729000,3689000,4258000,4542000,2390000,2663000
