日付,プログラム,NW,DB,OS,統計
2015/4/1,33,68,43,73,3
2015/4/2,38,73,48,78,6
2015/4/3,33,68,43,73,2
2015/4/4,33,68,43,73,3
2015/4/5,36,71,46,76,5
2015/4/6,39,74,49,79,8
2015/4/7,31,66,41,71,2
2015/4/8,38,72,47,77,5
2015/4/9,35,70,45,75,6
2015/4/10,31,66,41,71,2
2015/4/11,35,71,45,75,7
2015/4/12,32,67,42,72,0
2015/4/13,31,66,41,71,1
2015/4/14,35,69,45,75,2
2015/4/15,32,68,43,73,5
2015/4/16,37,71,46,76,3
2015/4/17,30,66,41,71,3
2015/4/18,38,74,49,79,10
2015/4/19,35,71,45,75,8
2015/4/20,34,70,45,75,7
2015/4/21,39,76,50,80,12
2015/4/22,32,68,42,72,6
2015/4/23,36,72,47,77,9
2015/4/24,40,73,49,79,4
2015/4/25,32,69,43,73,6
2015/4/26,37,70,46,76,1
2015/4/27,32,69,43,73,6
2015/4/28,30,66,41,71,4
2015/4/29,38,71,47,77,2
2015/4/30,38,75,49,79,12
2015/5/1,33,70,44,74,7
2015/5/2,34,67,43,73,1
2015/5/3,34,71,45,75,9
2015/5/4,31,66,40,70,5
2015/5/5,37,74,48,78,12
2015/5/6,33,70,44,74,9
2015/5/7,35,72,46,76,11
2015/5/8,37,75,49,79,13
2015/5/9,31,66,40,70,6
2015/5/10,39,76,50,80,15
2015/5/11,33,66,42,72,4
2015/5/12,31,68,42,72,8
2015/5/13,34,71,45,75,11
2015/5/14,30,67,41,71,7
2015/5/15,30,67,41,71,7
2015/5/16,34,72,46,76,12
2015/5/17,30,68,42,72,8
2015/5/18,31,66,40,70,7
2015/5/19,34,66,42,72,5
2015/5/20,38,76,49,79,15
2015/5/21,38,76,49,79,15
2015/5/22,36,74,48,78,14
2015/5/23,31,67,41,71,8
2015/5/24,34,72,45,75,12
2015/5/25,31,69,42,72,10
2015/5/26,31,67,40,70,8
2015/5/27,31,67,41,71,9
2015/5/28,38,70,46,76,2
2015/5/29,33,71,44,74,12
2015/5/30,38,70,47,77,2
2015/5/31,33,71,44,74,12
2015/6/1,37,75,49,79,16
2015/6/2,39,71,48,78,2
2015/6/3,31,68,41,71,10
2015/6/4,33,72,45,75,13
2015/6/5,31,69,42,72,11
2015/6/6,34,72,46,76,14
2015/6/7,35,74,47,77,16
2015/6/8,40,72,49,79,2
2015/6/9,31,70,43,73,12
2015/6/10,30,69,42,72,12
2015/6/11,34,65,42,72,8
2015/6/12,30,69,42,72,12
2015/6/13,35,74,47,77,16
2015/6/14,33,72,45,75,14
2015/6/15,36,75,48,78,17
2015/6/16,31,68,41,71,11
2015/6/17,30,70,43,73,13
2015/6/18,34,74,47,77,17
2015/6/19,30,69,42,72,13
2015/6/20,32,71,44,74,14
2015/6/21,31,68,41,71,12
2015/6/22,35,75,48,78,18
2015/6/23,30,70,42,72,14
2015/6/24,34,73,46,76,17
2015/6/25,35,75,48,78,19
2015/6/26,34,73,46,76,17
2015/6/27,32,72,45,75,17
2015/6/28,31,69,41,71,13
2015/6/29,35,75,48,78,19
2015/6/30,32,68,41,71,13
2015/7/1,38,68,45,75,8
2015/7/2,34,74,46,76,18
2015/7/3,39,69,46,76,7
2015/7/4,36,76,49,79,21
2015/7/5,30,70,42,72,15
2015/7/6,33,73,46,76,18
2015/7/7,33,73,46,76,18
