Date,TW_Bigdata,AC_Bigdata,TW_DB,AC_DB,Age,Sales
2011/4/1,1292,1540,1563,1613,48,70
2011/4/2,1320,1399,1260,1310,49,69
2011/4/3,1394,1281,893,943,39,74
2011/4/4,1399,1338,1043,1093,44,73
2011/4/5,1270,1396,1254,1304,41,69
2011/4/6,1292,1408,1301,1351,40,68
2011/4/7,1172,1271,988,1038,43,68
2011/4/8,1296,1337,1139,1189,43,68
2011/4/9,1375,1366,1126,1176,50,72
2011/4/10,1418,1276,842,892,37,76
2011/4/11,1235,1271,988,1038,48,68
2011/4/12,1488,1408,1162,1212,49,75
2011/4/13,1236,1311,1078,1128,39,68
2011/4/14,1444,1194,812,862,42,68
2011/4/15,1165,1373,1201,1251,46,69
2011/4/16,1140,1309,996,1046,49,72
2011/4/17,1460,1233,862,912,38,70
2011/4/18,1408,1286,962,1012,41,71
2011/4/19,1205,1446,1230,1280,44,76
2011/4/20,1249,1329,1043,1093,43,72
2011/4/21,1329,1342,1052,1102,41,73
2011/4/22,1355,1259,901,951,38,71
2011/4/23,1300,1442,1359,1409,42,69
2011/4/24,1542,1364,1064,1114,38,75
2011/4/25,1196,1222,855,905,45,69
2011/4/26,1304,1423,1218,1268,46,74
2011/4/27,1469,1218,768,818,41,73
2011/4/28,1258,1486,1303,1353,47,77
2011/4/29,1452,1447,1291,1341,38,73
2011/4/30,1212,1548,1541,1591,46,72
2011/5/1,1223,1156,665,715,47,71
2011/5/2,1310,1180,740,790,46,70
2011/5/3,1489,1394,1170,1220,40,73
2011/5/4,1333,1424,1219,1269,40,74
2011/5/5,1321,1308,975,1025,49,73
2011/5/6,1184,1601,1701,1751,48,70
2011/5/7,1306,1161,620,670,43,74
2011/5/8,1305,1304,1003,1053,43,71
2011/5/9,1469,1311,961,1011,49,74
2011/5/10,1215,1329,1022,1072,43,73
2011/5/11,1402,1449,1256,1306,48,75
2011/5/12,1310,1309,899,949,37,77
2011/5/13,1289,1331,1045,1095,39,72
2011/5/14,1260,1407,1220,1270,47,72
2011/5/15,1326,1075,501,551,38,70
2011/5/16,1439,1416,1161,1211,49,76
2011/5/17,1418,1511,1340,1390,38,78
2011/5/18,1044,1189,721,771,39,72
2011/5/19,1262,1235,787,837,47,74
2011/5/20,1249,1310,900,950,37,77
2011/5/21,1268,1328,1039,1089,49,72
2011/5/22,1307,1375,1108,1158,42,74
2011/5/23,1374,1159,615,665,39,74
2011/5/24,1378,1391,1086,1136,43,77
2011/5/25,1343,1354,982,1032,42,78
2011/5/26,1391,1339,987,1037,38,76
2011/5/27,1354,1207,783,833,50,71
2011/5/28,1318,1315,1010,1060,46,72
2011/5/29,1365,1537,1477,1527,47,74
2011/5/30,1443,1323,989,1039,38,74
2011/5/31,1248,1306,1009,1059,41,71
