ì˙ït,Ç¬Ç‘Ç‚Ç´êî,îÑè„
2011/4/1,1292,70
2011/4/2,1320,69
2011/4/3,1394,74
2011/4/4,1399,73
2011/4/5,1270,69
2011/4/6,1292,68
2011/4/7,1172,68
2011/4/8,1296,68
2011/4/9,1375,72
2011/4/10,1418,76
2011/4/11,1235,68
2011/4/12,1488,75
2011/4/13,1236,68
2011/4/14,1444,68
2011/4/15,1165,69
2011/4/16,1140,72
2011/4/17,1460,70
2011/4/18,1408,71
2011/4/19,1205,76
2011/4/20,1249,72
2011/4/21,1329,73
2011/4/22,1355,71
2011/4/23,1300,69
2011/4/24,1542,75
2011/4/25,1196,69
2011/4/26,1304,74
2011/4/27,1469,73
2011/4/28,1258,77
2011/4/29,1452,73
2011/4/30,1212,72
2011/5/1,1223,71
2011/5/2,1310,70
2011/5/3,1489,73
2011/5/4,1333,74
2011/5/5,1321,73
2011/5/6,1184,70
2011/5/7,1306,74
2011/5/8,1305,71
2011/5/9,1469,74
2011/5/10,1215,73
2011/5/11,1402,75
2011/5/12,1310,77
2011/5/13,1289,72
2011/5/14,1260,72
2011/5/15,1326,70
2011/5/16,1439,76
2011/5/17,1418,78
2011/5/18,1044,72
2011/5/19,1262,74
2011/5/20,1249,77
2011/5/21,1268,72
2011/5/22,1307,74
2011/5/23,1374,74
2011/5/24,1378,77
2011/5/25,1343,78
2011/5/26,1391,76
2011/5/27,1354,71
2011/5/28,1318,72
2011/5/29,1365,74
2011/5/30,1443,74
2011/5/31,1248,71
2011/6/1,1162,74
2011/6/2,1389,75
2011/6/3,1285,75
2011/6/4,1361,72
2011/6/5,1294,71
2011/6/6,1351,75
2011/6/7,1351,71
2011/6/8,1329,75
2011/6/9,1475,79
2011/6/10,1413,76
2011/6/11,1465,76
2011/6/12,1400,71
2011/6/13,1320,78
2011/6/14,1307,74
2011/6/15,1421,74
2011/6/16,1178,78
2011/6/17,1202,76
2011/6/18,1180,75
2011/6/19,1389,74
2011/6/20,1434,74
2011/6/21,1265,74
2011/6/22,1368,74
2011/6/23,1317,74
2011/6/24,1308,78
2011/6/25,1523,78
2011/6/26,1391,77
2011/6/27,1355,74
2011/6/28,1391,73
2011/6/29,1335,77
2011/6/30,1409,76
2011/7/1,1476,79
2011/7/2,1359,80
2011/7/3,1234,75
2011/7/4,1318,73
2011/7/5,1226,80
2011/7/6,1251,78
2011/7/7,1386,76
2011/7/8,1600,77
2011/7/9,1346,77
2011/7/10,1334,80
2011/7/11,1246,77
2011/7/12,1336,79
2011/7/13,1470,80
2011/7/14,1346,82
2011/7/15,1310,74
2011/7/16,1375,76
2011/7/17,1523,74
2011/7/18,1429,77
2011/7/19,1498,76
2011/7/20,1415,75
2011/7/21,1465,83
2011/7/22,1285,78
2011/7/23,1335,83
2011/7/24,1536,80
